samplerate,acc_gx,acc_gy,acc_gz,gyro_pdsx,gyro_dpsy,gyro_dpsz
50,0.4423828,-0.9199219,-0.03149414,-2.80916,0.8549618,-7.664122
50,0.4388428,-0.911377,-0.03149414,-2.580153,1.465649,-8.167939
50,0.4437256,-0.9038086,-0.03149414,-1.984733,1.832061,-6.625954
50,0.4455566,-0.9050293,-0.03149414,-1.679389,2.427481,-5.648855
50,0.4500732,-0.90625,-0.03149414,-0.9312977,3.114504,-3.954198
50,0.4575195,-0.9014893,-0.03149414,-0.1679389,3.358779,-2.748092
50,0.4641113,-0.9057617,-0.03149414,0.6870229,3.694656,-1.40458
50,0.4689941,-0.9100342,-0.03149414,1.740458,3.847328,-0.5954198
50,0.4674072,-0.9123535,-0.03149414,3.251908,4.656488,0.3664122
50,0.46521,-0.913208,-0.03149414,5.053435,5.679389,0.8396947
50,0.4633789,-0.9134521,-0.03149414,6.015267,6.503817,0.7480916
50,0.4575195,-0.9089355,-0.03149414,6.137404,7.496183,0.4427481
50,0.4500732,-0.90979,-0.03149414,5.267176,8.549619,0
50,0.4440918,-0.9091797,-0.03149414,3.587786,9.511451,-0.1984733
50,0.4373779,-0.913208,-0.03149414,2.839695,9.969465,-0.5343512
50,0.4311523,-0.9255371,-0.03149414,3.328244,9.206107,0.03053435
50,0.4259033,-0.918457,-0.0001220703,4.763359,8.274809,0.5801527
50,0.4213867,-0.9007568,-0.0001220703,4.717557,6.183206,2.641221
50,0.4197998,-0.9144287,-0.0001220703,3.755725,4.351145,4.38168
50,0.4350586,-0.9366455,-0.0001220703,4.21374,2.473282,3.938931
50,0.4360352,-0.9306641,-0.0001220703,4.320611,2.290076,0.8396947
50,0.4261475,-0.9228516,-0.0001220703,3.343511,1.145038,-3.068702
50,0.4268799,-0.9144287,-0.0001220703,3.145038,0.0610687,-3.740458
50,0.4293213,-0.9086914,-0.03149414,2.274809,-0.3358779,-2.534351
50,0.4302979,-0.9105225,-0.03149414,1.526718,-0.2900763,-1.282443
50,0.4327393,-0.9108887,-0.03149414,0.2290076,-0.6870229,0.1679389
50,0.4371338,-0.918457,-0.03149414,-0.4427481,-0.870229,0.3816794
50,0.4365234,-0.9196777,-0.03149414,0.09160306,-0.5801527,-0.07633588
50,0.435791,-0.9196777,-0.03149414,0.1374046,-0.7480916,-0.351145
50,0.4396973,-0.916626,-0.03149414,-0.2442748,-0.8244275,-0.8244275
50,0.4468994,-0.9249268,-0.03149414,-0.3358779,-0.5954198,-1.389313
50,0.453125,-0.9226074,-0.03149414,0.2900763,-0.2290076,-2.183206
50,0.4509277,-0.9216309,-0.03149414,1.038168,0.4122137,-3.328244
50,0.4464111,-0.9160156,-0.03149414,1.908397,0.5954198,-3.603053
50,0.4377441,-0.8978271,-0.03149414,2.412214,1.007634,-2.152672
50,0.4378662,-0.8953857,-0.06286621,1.938931,1.19084,0.1526718
50,0.4537354,-0.9116211,-0.06286621,0.4274809,1.862595,2.473282
50,0.4609375,-0.9334717,-0.06286621,-0.1832061,3.114504,1.603053
50,0.4570313,-0.9384766,-0.03149414,2.381679,5.480916,-1.923664
50,0.4466553,-0.9285889,-0.0001220703,4.412214,6.48855,-3.496183
50,0.4428711,-0.9122314,-0.0001220703,6.70229,6.259542,-3.099237
50,0.440918,-0.9012451,-0.03149414,7.053435,6.061069,-1.877863
50,0.4306641,-0.8980713,-0.03149414,5.053435,5.603054,0.4427481
50,0.4301758,-0.90979,-0.03149414,3.022901,5.129771,1.221374
50,0.4321289,-0.9221191,-0.03149414,0.5954198,4.824428,-0.6717557
