samplerate,acc_gx,acc_gy,acc_gz,gyro_pdsx,gyro_dpsy,gyro_dpsz
50,-0.9456787,0.2349854,-0.0001220703,1.755725,0.8244275,-0.9007633
50,-0.9403076,0.2316895,-0.0001220703,4.061069,-1.343511,-2.366412
50,-0.9321289,0.2322998,-0.0001220703,4.305344,-0.961832,-2.534351
50,-0.9302979,0.2321777,-0.0001220703,4.045802,-0.2442748,-2.564885
50,-0.9366455,0.2364502,-0.0001220703,3.633588,0.5343512,-2.396947
50,-0.9362793,0.2390137,-0.0001220703,3.160305,0.3358779,-1.816794
50,-0.9348145,0.2401123,-0.0001220703,2.625954,0.1221374,-1.114504
50,-0.9317627,0.2375488,-0.0001220703,2.381679,0,-0.961832
50,-0.932373,0.2307129,-0.0001220703,4.580153,-2.564885,-2.870229
50,-0.9283447,0.2333984,-0.0001220703,5.328244,-3.129771,-3.541985
50,-0.9293213,0.2321777,0,4.48855,-1.328244,-3.083969
50,-0.9291992,0.230835,0,4.351145,-0.778626,-2.961832
50,-0.9277344,0.2312012,0,4.91603,-0.3358779,-3.496183
50,-0.9285889,0.2344971,0,5.587786,0.0610687,-3.954198
50,-0.9276123,0.239502,0,5.984733,0.259542,-4.167939
50,-0.9272461,0.239502,0,5.938931,0.1984733,-4.458015
50,-0.9255371,0.2401123,0,8.702291,-2.80916,-4.061069
50,-0.9262695,0.2382813,0,10.19847,-3.969466,-9.496183
50,-0.9234619,0.2373047,0,10.65649,-3.969466,-10.83969
50,-0.9227295,0.2330322,0,11.08397,-1.145038,-12.9771
50,-0.927124,0.2265625,0,13.16031,3.725191,-14.9771
50,-0.9398193,0.225708,-0.0001220703,13.78626,2.045802,-14.0916
50,-0.9333496,0.2159424,-0.0001220703,10.47328,0.8244275,-12.30534
50,-0.9344482,0.2016602,-0.0001220703,6.167939,1.099237,-10.87023
50,-0.9345703,0.1999512,-0.0001220703,4.305344,1.480916,-10.10687
50,-0.9373779,0.1940918,-0.0001220703,1.541985,2.259542,-8.458015
50,-0.9403076,0.1922607,-0.0001220703,0.6564885,2.305344,-7.725191
50,-0.9447021,0.1912842,-0.0001220703,-0.04580153,1.755725,-7.099236
50,-0.9484863,0.1817627,-0.0001220703,1.480916,-0.9312977,-8.549619
50,-0.9504395,0.1831055,-0.0001220703,0.9312977,-2.274809,-9.465649
50,-0.9559326,0.1708984,-0.0001220703,-0.7938932,-2.351145,-9.267176
50,-0.9549561,0.1646729,0,-1.206107,-3.572519,-9.419847
50,-0.9523926,0.1625977,0,-1.068702,-4.458015,-9.694656
50,-0.9481201,0.1448975,0,0.2442748,-6.854962,-10.94656
50,-0.9445801,0.1552734,0,2.442748,-8.351145,-12.16794
50,-0.9439697,0.1547852,0,2.839695,-8.137404,-11.66412
50,-0.9447021,0.1619873,0.03137207,3.679389,-8.244275,-10.87023
50,-0.9378662,0.1723633,0.03137207,4.229008,-8.351145,-9.175572
50,-0.9343262,0.1677246,0.03137207,3.847328,-8.061069,-8.870229
50,-0.9345703,0.1677246,0,2.961832,-7.465649,-10.53435
50,-0.9401855,0.1577148,0.03137207,0.8854962,-5.862596,-11.45038
50,-0.9458008,0.1473389,0.03137207,-0.7175573,-5.389313,-13.25191
50,-0.946167,0.1434326,0.03137207,-1.19084,-5.694656,-14.18321
50,-0.9442139,0.1392822,0.03137207,-1.755725,-6.091603,-14.50382
50,-0.9420166,0.1334229,0.03137207,-2.137405,-6.10687,-13.98473
50,-0.9405518,0.126709,0.03137207,-2.244275,-5.847328,-13.26718
50,-0.9395752,0.119873,0.03137207,-1.007634,-6.717557,-13.69466
50,-0.9366455,0.1171875,0.06274414,-0.7175573,-6.320611,-13.35878
50,-0.9350586,0.1118164,0.06274414,-1.251908,-5.053435,-11.93893
50,-0.9331055,0.1049805,0.06274414,-1.236641,-4.274809,-11.1145
50,-0.9306641,0.1004639,0.06274414,-1.160305,-2.916031,-10.16794
50,-0.9326172,0.09558105,0.06274414,-0.9923664,-2.015267,-9.572519
50,-0.9354248,0.09020996,0.06274414,-0.5038168,-0.9770992,-8.442748
50,-0.9362793,0.08874512,0.06274414,0.04580153,-0.5343512,-7.40458
50,-0.9365234,0.08703613,0.06274414,0.8091603,0.1984733,-5.89313
50,-0.9385986,0.0859375,0.06274414,1.099237,0.7633588,-4.977099
50,-0.9420166,0.08764648,0.06274414,3.053435,-0.04580153,-4.59542
50,-0.9439697,0.08935547,0.06274414,2.793893,0.4580153,-3.847328
50,-0.944458,0.09069824,0.06274414,2.351145,0.9160305,-2.778626
50,-0.9449463,0.08996582,0.06274414,2.015267,1.160305,-2.305344
