samplerate,acc_gx,acc_gy,acc_gz,gyro_pdsx,gyro_dpsy,gyro_dpsz
50,-0.3621826,0.8614502,0.1882324,2.992366,0.2442748,1.648855
50,-0.3670654,0.8638916,0.1882324,3.908397,0.4580153,1.221374
50,-0.3751221,0.8751221,0.1882324,5.08397,0.7022901,1.267176
50,-0.3850098,0.8825684,0.2196045,5.435114,0.6870229,1.709924
50,-0.3856201,0.8944092,0.2196045,4.946565,-0.4274809,2.656489
50,-0.3928223,0.8908691,0.2196045,3.78626,-0.03053435,2.656489
50,-0.432251,0.8665771,0.2196045,2.473282,0.7328244,3.007634
50,-0.4345703,0.8577881,0.2196045,2.229008,-0.7328244,3.770992
50,-0.4104004,0.8704834,0.2196045,1.328244,-1.694656,3.709924
50,-0.4074707,0.8780518,0.1882324,-0.1068702,-0.1832061,3.587786
50,-0.4262695,0.8602295,0.2196045,-0.9312977,1.022901,4.549618
50,-0.4241943,0.8405762,0.2196045,-0.351145,-0.1068702,4.80916
50,-0.4239502,0.8156738,0.2196045,1.374046,-1.267176,2.641221
50,-0.4117432,0.8188477,0.2196045,3.496183,-2.396947,1.877863
50,-0.3905029,0.8226318,0.2196045,6.748092,-3.755725,1.450382
50,-0.3765869,0.8363037,0.2196045,8.824428,-4.625954,0.7938932
50,-0.3519287,0.8572998,0.1882324,9.251908,-4.564886,0.5954198
50,-0.3543701,0.854248,0.1568604,7.923664,-1.969466,0.778626
50,-0.3781738,0.8582764,0.1568604,7.206107,2.015267,3.19084
50,-0.3897705,0.8896484,0.1882324,8.442748,2.977099,6.045802
50,-0.4245605,0.8985596,0.1882324,7.374046,3.679389,10.54962
50,-0.4621582,0.8780518,0.2196045,5.51145,4.015267,11.89313
50,-0.4815674,0.8449707,0.2509766,5.801527,2.519084,14.76336
50,-0.4594727,0.8289795,0.2509766,7.51145,-0.8396947,7.603054
50,-0.4439697,0.8243408,0.2823486,8.80916,-1.480916,2.381679
50,-0.4008789,0.8526611,0.2509766,12.48855,-4.946565,-1.236641
50,-0.3570557,0.8835449,0.2196045,13.05344,-5.51145,-1.770992
50,-0.3498535,0.8782959,0.2196045,11.77099,-1.175573,-0.09160306
50,-0.3669434,0.8734131,0.2196045,11.16031,1.083969,1.603053
50,-0.3552246,0.8638916,0.2196045,9.465649,0.1068702,3.068702
50,-0.3360596,0.8632813,0.1882324,8.396947,-0.9923664,2.122137
50,-0.3337402,0.8787842,0.1882324,7.984733,-0.519084,0.8244275
50,-0.3468018,0.8885498,0.1882324,7.526718,0.3053435,0.7175573
50,-0.333252,0.8764648,0.1882324,5.19084,-0.7175573,0.778626
50,-0.3114014,0.8581543,0.1882324,3.694656,-2.259542,-1.51145
50,-0.3105469,0.8695068,0.1882324,4.793893,-2.045802,-3.603053
50,-0.3255615,0.8988037,0.1882324,6.641222,-1.053435,-2
50,-0.3509521,0.9331055,0.1568604,7.022901,1.679389,3.267176
50,-0.3415527,0.8956299,0.1568604,4.152672,2.091603,5.679389
50,-0.3212891,0.8580322,0.1568604,3.51145,2.167939,2.351145
50,-0.3327637,0.859375,0.1568604,5.61832,3.633588,1.099237
50,-0.394165,0.8753662,0.1568604,9.572519,4.824428,2.946565
50,-0.4125977,0.8969727,0.1882324,11.9542,2.763359,6.122138
50,-0.329834,0.9007568,0.1254883,9.862596,-3.022901,8.442748
50,-0.3157959,0.8798828,0.09411621,6.717557,-0.1679389,3.816794
