samplerate,acc_gx,acc_gy,acc_gz,gyro_pdsx,gyro_dpsy,gyro_dpsz
50,0.4445801,-0.9108887,0.03137207,0.9160305,1.572519,-0.6870229
50,0.4454346,-0.9085693,0.03137207,1.160305,1.89313,-0.4885496
50,0.4465332,-0.9088135,0.03137207,1.221374,2.274809,-0.2137405
50,0.4475098,-0.9106445,0.03137207,1.19084,2.442748,-0.1832061
50,0.4470215,-0.9105225,0.03137207,1.022901,2.519084,-0.6870229
50,0.4470215,-0.9089355,0.03137207,1.083969,2.48855,-1.145038
50,0.446167,-0.9044189,0.03137207,1.435115,2.473282,-1.465649
50,0.4462891,-0.9017334,0.03137207,1.664122,2.427481,-1.236641
50,0.4458008,-0.9013672,0.03137207,1.374046,2.519084,-0.8244275
50,0.4451904,-0.9056396,0.03137207,1.175573,2.671756,-0.778626
50,0.4429932,-0.9088135,0.03137207,1.358779,2.564885,-0.9160305
50,0.4423828,-0.9069824,0.03137207,1.740458,2.381679,-0.9465649
50,0.44104,-0.9040527,0.03137207,1.923664,2.396947,-0.7175573
50,0.4412842,-0.9041748,0.03137207,1.816794,2.351145,-0.4427481
50,0.4414063,-0.9060059,0.03137207,1.770992,2.152672,-0.2900763
50,0.4428711,-0.907959,0.03137207,1.89313,2.015267,-0.3664122
50,0.4437256,-0.9088135,0.03137207,2.061069,1.89313,-0.6259542
50,0.4442139,-0.9073486,0.03137207,2.335878,1.862595,-0.7938932
50,0.4421387,-0.904541,0.03137207,2.656489,1.954198,-0.7175573
50,0.4355469,-0.8999023,0.03137207,2.534351,2.229008,-0.1679389
50,0.4294434,-0.9002686,0.03137207,2.21374,2.442748,0.3664122
50,0.4250488,-0.9063721,0.03137207,1.801527,2.442748,0.9160305
50,0.4256592,-0.9128418,0.03137207,1.206107,2.396947,0.5648855
50,0.4278564,-0.9205322,0.03137207,0.9160305,2.229008,-0.8549618
50,0.4302979,-0.9216309,0.03137207,0.961832,2.015267,-1.923664
50,0.4360352,-0.9199219,0.03137207,1.038168,1.633588,-2.961832
50,0.4403076,-0.9176025,0.03137207,1.465649,1.496183,-3.328244
50,0.4428711,-0.9107666,0.03137207,2.076336,1.51145,-3.389313
50,0.4403076,-0.9068604,0.03137207,2.458015,1.648855,-3.175573
50,0.4365234,-0.902832,0.03137207,2.748092,1.557252,-2.916031
50,0.435791,-0.9016113,0.03137207,2.564885,1.450382,-2.900763
50,0.4400635,-0.9051514,0.03137207,1.89313,1.251908,-3.282443
50,0.4421387,-0.9077148,0.03137207,1.51145,1.282443,-3.89313
50,0.4460449,-0.9090576,0.03137207,1.267176,1.328244,-4.534351
50,0.449585,-0.9084473,0.03137207,1.343511,1.465649,-4.656488
50,0.4504395,-0.904541,0.03137207,1.908397,1.847328,-4.503817
50,0.4504395,-0.9013672,0.03137207,2.412214,1.832061,-4.21374
50,0.4545898,-0.8956299,0.03137207,3.374046,1.343511,-3.557252
50,0.4613037,-0.8913574,0.03137207,3.877863,0.9465649,-3.160305
50,0.4665527,-0.8905029,0.03137207,4.152672,0.9770992,-2.641221
50,0.4675293,-0.895874,0.03137207,4.244275,1.160305,-2.198473
50,0.4671631,-0.9022217,0.03137207,4.80916,1.251908,-1.526718
50,0.4273682,-0.9151611,0.06274414,4.656488,1.29771,-2.229008
50,0.4241943,-0.9169922,0.06274414,5.343512,0.2748092,-4.656488
50,0.4555664,-0.9042969,0.06274414,8.167939,-0.0610687,-6.274809
50,0.4656982,-0.894165,0.06274414,8.366412,0.9007633,-5.557252
50,0.4707031,-0.8847656,0.06274414,8.045801,1.633588,-5.328244
50,0.4772949,-0.8736572,0.06274414,6.763359,2.366412,-5.251908
50,0.4799805,-0.8707275,0.06274414,5.694656,2.656489,-5.160306
50,0.4916992,-0.8631592,0.06274414,3.664122,2.778626,-4.442748
50,0.4942627,-0.8652344,0.06274414,1.29771,4.335878,-4.045802
50,0.4919434,-0.8695068,0.06274414,-2.931298,7.603054,-3.053435
50,0.4859619,-0.8735352,0.06274414,-6.137404,9.862596,-2.778626
50,0.4638672,-0.8787842,0.06274414,-9.374045,11.64886,-2.351145
50,0.4552002,-0.8841553,0.06274414,-9.984733,10.73282,-1.832061
50,0.4520264,-0.8963623,0.06274414,-9.022901,8.015267,-1.954198
50,0.4528809,-0.9029541,0.06274414,-7.801527,6.290076,-2.580153
50,0.4647217,-0.9088135,0.03137207,-6.290076,3.847328,-3.40458
50,0.4758301,-0.9143066,0.03137207,-5.954198,2.992366,-4.061069
50,0.4915771,-0.9265137,0.03137207,-5.19084,2.48855,-5.007634
50,0.4992676,-0.9310303,0.03137207,-3.770992,2.610687,-5.923664
50,0.4963379,-0.918457,0.03137207,-0.2290076,3.129771,-7.236641
50,0.491333,-0.8995361,0.03137207,1.938931,3.374046,-7.480916
50,0.4758301,-0.876709,0.03137207,3.648855,4.244275,-7.099236
50,0.4664307,-0.8676758,0.06274414,4.396946,4.229008,-6.244275
50,0.4587402,-0.8643799,0.06274414,5.664122,3.129771,-4.931298
50,0.4595947,-0.8615723,0.09411621,6.870229,1.847328,-4.076336
50,0.4655762,-0.8640137,0.09411621,8.244275,0.2137405,-3.007634
50,0.4664307,-0.8659668,0.06274414,7.984733,0.03053435,-2.290076
50,0.4671631,-0.8861084,0.06274414,5.419847,-0.5038168,-1.419847
50,0.4667969,-0.895752,0.06274414,3.40458,-0.778626,-1.450382
50,0.4681396,-0.9022217,0.03137207,-0.1832061,-1.19084,-1.236641
50,0.4711914,-0.9050293,0.03137207,-2.030534,-1.40458,-1.312977
50,0.4758301,-0.9077148,0.03137207,-2.732824,-1.40458,-1.877863
50,0.4805908,-0.9101563,0.03137207,-1.755725,-1.419847,-2.564885
50,0.4869385,-0.9121094,0.03137207,1.053435,-1.160305,-4.259542
50,0.4875488,-0.9090576,0.06274414,3.587786,-0.9160305,-5.480916
50,0.4887695,-0.8812256,0.06274414,7.755725,-1.419847,-5.816794
50,0.4902344,-0.8625488,0.06274414,8.763359,-1.847328,-4.473282
50,0.4924316,-0.8690186,0.06274414,6.717557,-1.145038,-2.045802
50,0.4925537,-0.8841553,0.06274414,5.755725,-0.4122137,-1.129771
50,0.4956055,-0.887085,0.06274414,5.78626,0.3816794,-1.618321
50,0.4893799,-0.8869629,0.03137207,6.320611,0.9160305,-2.167939
50,0.4892578,-0.8905029,0.03137207,6.48855,1.480916,-1.755725
50,0.5168457,-0.9243164,0.03137207,5.587786,1.526718,-1.78626
50,0.5428467,-0.9610596,0.03137207,3.938931,2.091603,-3.267176
50,0.6307373,-1.028198,0.03137207,4.59542,5.465649,-6.015267
50,0.6696777,-1.033325,0.06274414,12.18321,14.85496,-4.396946
50,0.6131592,-1.108276,0.1254883,25.0687,29.77099,16.56489
50,0.6124268,-1.112549,0.1568604,34.96183,31.35878,34.0916
50,0.623291,-1.007935,0.1254883,44.36641,36,51.63359
50,0.5904541,-0.9868164,0.1254883,42.15267,41.25191,65.96947
50,0.619751,-1.123779,0.1882324,31.92366,40.36641,86.01527
50,0.6781006,-1.234619,0.1882324,28.76336,37.69466,87.90839
50,0.673584,-1.244751,0.2196045,32.76336,39.74046,91.8168
50,0.6639404,-1.223755,0.2196045,41.89313,48.56488,108.8092
50,0.7175293,-1.199829,0.2196045,45.61832,53.40458,139.542
50,0.7244873,-1.157471,0.2196045,48.10687,60.32061,151.8931
50,0.6844482,-1.1073,0.2196045,49.43512,69.08397,172.0153
50,0.6435547,-1.062988,0.2196045,54.54962,82.8855,187.084
50,0.444458,-0.9616699,0.2509766,52.90076,101.2672,207.084
50,0.3503418,-0.9423828,0.2196045,51.05344,102.916,211.6336
50,-0.3044434,-0.9576416,0.3137207,20.68702,102.6718,191.8779
50,-0.4016113,-0.949585,0.3137207,17.09924,92.38168,180
50,-0.4954834,-0.8312988,0.2823486,18.42748,88.44275,175.8015
50,-0.5596924,-0.7630615,0.2823486,16.06107,87.22137,178.6565
50,-0.6401367,-0.7287598,0.2823486,9.312977,84.01527,177.0076
50,-0.6794434,-0.6571045,0.2509766,9.832061,81.0229,169.8779
50,-0.7261963,-0.4769287,0.1882324,13.58779,79.14503,160.8702
50,-0.776123,-0.3563232,0.1568604,13.16031,79.75572,158.5191
50,-0.8436279,-0.2432861,0.1254883,8.21374,76.25954,155.9084
50,-0.8446045,-0.2675781,0.1254883,-7.419847,67.96947,151.1145
50,-0.7614746,-0.2757568,0.09411621,-13.20611,56,133.313
50,-0.7327881,-0.1999512,0.06274414,-11.48092,47.28244,121.2977
50,-0.7348633,-0.078125,0.03137207,-9.358779,45.52672,118.626
50,-0.7393799,-0.0904541,0.03137207,-14.18321,44.10687,121.6794
50,-0.6634521,-0.1564941,0.03137207,-19.9084,34.67176,114.9008
50,-0.6195068,-0.1499023,0.03137207,-19.69466,31.37405,101.6183
50,-0.6363525,-0.06237793,0,-18.62595,32.9771,88.48855
50,-0.6612549,-0.008422852,0,-11.58779,33.92366,89.49619
50,-0.673584,0.02868652,-0.0001220703,-9.480916,32.30534,94.77863
50,-0.6519775,0.04394531,-0.0001220703,-6.70229,29.57252,95.37405
50,-0.6429443,0.07202148,-0.03149414,-4.992366,28.35114,89.58778
50,-0.6531982,0.1143799,-0.03149414,-0.9923664,28.15267,86.229
50,-0.6646729,0.1607666,-0.03149414,-0.1221374,28.0916,84.65649
50,-0.6844482,0.1875,-0.03149414,-0.1526718,28.36641,83.32825
50,-0.7070313,0.2368164,-0.06286621,-0.6564885,26.03053,81.31298
50,-0.7321777,0.256958,-0.06286621,-2.48855,25.60305,80.21374
50,-0.7836914,0.286377,-0.09423828,-4.076336,26.12214,78.85497
50,-0.8189697,0.3106689,-0.09423828,-4.076336,26.56489,78.25954
50,-0.831665,0.3288574,-0.09423828,-2.351145,24.58015,77.87786
50,-0.8319092,0.3546143,-0.1256104,-0.5801527,23.1145,75.83206
50,-0.8527832,0.4147949,-0.1256104,2.381679,22.36641,70.77863
50,-0.8594971,0.4598389,-0.1569824,4.519084,20.91603,69.49619
50,-0.8503418,0.5091553,-0.1569824,3.969466,19.55725,69.03817
50,-0.8447266,0.5373535,-0.1569824,3.679389,18.71756,66.48855
50,-0.8187256,0.5806885,-0.1883545,5.526718,15.22137,62
50,-0.7990723,0.6165771,-0.1883545,6.458015,13.84733,58.71756
50,-0.7784424,0.6639404,-0.2197266,4.48855,13.80153,53.16031
50,-0.7697754,0.6767578,-0.2510986,1.801527,14.01527,49.48092
50,-0.7583008,0.699707,-0.2510986,1.099237,12.12214,43.19084
50,-0.7545166,0.7296143,-0.2510986,1.969466,10.21374,38.59542
50,-0.7390137,0.7595215,-0.2510986,-6.366412,-1.89313,18.0916
50,-0.7276611,0.755249,-0.2510986,-6.717557,-4.229008,11.74046
50,-0.7305908,0.8300781,-0.2510986,4.992366,-10.82443,-15.38931
50,-0.7619629,0.8522949,-0.2197266,6.076336,-11.14504,-22.96183
50,-0.8143311,0.8942871,-0.2510986,9.633588,-20.99237,-52.99237
50,-0.8480225,0.9013672,-0.2510986,12.39695,-21.0687,-63.77099
50,-0.9259033,0.9321289,-0.2824707,16.9313,-20.68702,-81.35878
50,-0.9606934,0.9317627,-0.2824707,17.93893,-31.48092,-94.56489
50,-0.9746094,0.8914795,-0.2510986,14.8855,-43.48092,-110.687
50,-0.9136963,0.8494873,-0.2510986,11.17557,-69.74046,-132.4275
50,-0.7993164,0.746582,-0.2197266,7.648855,-82.10687,-149.2672
50,-0.7408447,0.6547852,-0.1883545,3.679389,-88.77863,-156.7786
50,-0.6723633,0.5133057,-0.1256104,3.267176,-90.30534,-160.3053
50,-0.6242676,0.4056396,-0.06286621,0.2137405,-91.74046,-167.4198
50,-0.5649414,0.2410889,-0.0001220703,-3.282443,-91.78626,-168.458
50,-0.5258789,0.1408691,0,-9.40458,-91.48092,-174.9924
50,-0.484375,0.0001220703,0.06274414,-15.55725,-86.80916,-175.2977
50,-0.4779053,-0.0802002,0.09411621,-17.63359,-82.21374,-171.2366
50,-0.4416504,-0.1856689,0.1254883,-19.80153,-78.33588,-159.0382
50,-0.423584,-0.2556152,0.1254883,-22.39695,-74.15267,-152.1069
50,-0.4591064,-0.3052979,0.1568604,-22.9313,-65.58778,-143.5267
50,-0.4831543,-0.3082275,0.1882324,-23.29771,-63.89313,-134.3512
50,-0.4462891,-0.3533936,0.1882324,-28.25954,-67.96947,-119.5115
50,-0.4143066,-0.3937988,0.1882324,-30.35114,-67.40458,-114.0153
50,-0.4310303,-0.430542,0.2196045,-28.33588,-59.63359,-109.3435
50,-0.4488525,-0.4390869,0.2509766,-25.09924,-56.94656,-105.4809
50,-0.4439697,-0.4349365,0.2509766,-21.16031,-59.92366,-100.9313
50,-0.4276123,-0.4573975,0.2509766,-21.87786,-63.32824,-101.0382
50,-0.3916016,-0.5267334,0.2823486,-22.80916,-69.32825,-106.6718
50,-0.3520508,-0.5496826,0.3137207,-21.83206,-71.92367,-114.3359
50,-0.3190918,-0.5380859,0.3450928,-21.40458,-71.84733,-127.4809
50,-0.2860107,-0.5456543,0.3450928,-24.73282,-73.0687,-133.2214
50,-0.2354736,-0.6311035,0.3450928,-35.46565,-74.9771,-143.0687
50,-0.2175293,-0.6807861,0.3764648,-41.32824,-74.80916,-149.6336
50,-0.2213135,-0.706543,0.3450928,-47.46565,-71.83206,-155.4046
50,-0.1827393,-0.727417,0.3450928,-52.64122,-73.19084,-153.0992
50,-0.0559082,-0.8970947,0.3764648,-64.83969,-79.9542,-156.0763
50,0.02209473,-0.9851074,0.3764648,-69.09924,-81.51145,-166.3053
50,-0.02722168,-0.9615479,0.3450928,-68.15267,-71.78626,-177.4657
50,-0.0324707,-0.8303223,0.3450928,-64.45802,-69.89313,-166.1985
