samplerate,acc_gx,acc_gy,acc_gz,gyro_pdsx,gyro_dpsy,gyro_dpsz
50,-0.9299316,0.1677246,0.09411621,0.7633588,1.740458,-1.389313
50,-0.9283447,0.1676025,0.09411621,0.7175573,1.832061,-1.526718
50,-0.9278564,0.1654053,0.09411621,0.870229,2,-1.618321
50,-0.9272461,0.1640625,0.09411621,1.145038,2.061069,-1.587786
50,-0.9261475,0.1645508,0.09411621,1.648855,2.305344,-1.801527
50,-0.9274902,0.1665039,0.09411621,2.030534,2.458015,-1.89313
50,-0.9272461,0.1685791,0.09411621,2.167939,2.503817,-1.847328
50,-0.9268799,0.1688232,0.09411621,2.045802,2.534351,-1.770992
50,-0.9295654,0.168335,0.09411621,1.862595,2.549618,-1.664122
50,-0.9279785,0.1676025,0.09411621,1.755725,2.442748,-1.557252
50,-0.9255371,0.1652832,0.09411621,1.587786,2.274809,-1.770992
50,-0.9263916,0.1651611,0.09411621,1.480916,2.290076,-1.984733
50,-0.9320068,0.1624756,0.09411621,1.496183,2.244275,-2.076336
50,-0.932251,0.1621094,0.09411621,1.694656,1.923664,-1.587786
50,-0.9248047,0.1629639,0.09411621,1.89313,1.679389,-1.022901
50,-0.9211426,0.1643066,0.09411621,1.801527,2.076336,-1.099237
50,-0.9223633,0.1638184,0.09411621,1.480916,3.068702,-1.480916
50,-0.927002,0.164917,0.09411621,1.358779,3.526718,-1.603053
50,-0.9289551,0.164917,0.09411621,1.099237,3.51145,-1.267176
50,-0.932251,0.1652832,0.09411621,0.8091603,3.343511,-0.6717557
50,-0.9327393,0.1640625,0.09411621,0.5343512,3.236641,-0.2442748
50,-0.9315186,0.1600342,0.09411621,0.2137405,2.931298,0.4427481
50,-0.9295654,0.154541,0.09411621,0.2900763,2.763359,1.053435
50,-0.9267578,0.1484375,0.09411621,0.961832,2.732824,1.618321
50,-0.9261475,0.1488037,0.09411621,1.755725,2.900763,1.847328
50,-0.9180908,0.1551514,0.09411621,3.053435,2.610687,3.526718
50,-0.9163818,0.1635742,0.09411621,3.725191,2.977099,4.458015
50,-0.9245605,0.1809082,0.09411621,4.091603,4.305344,7.251908
50,-0.935791,0.1939697,0.06274414,4.335878,5.938931,9.572519
50,-0.9581299,0.2233887,0.06274414,3.083969,7.694656,14.0916
50,-0.958252,0.2209473,0.06274414,1.740458,7.312977,15.74046
50,-0.9433594,0.1899414,0.09411621,2.244275,5.328244,11.66412
50,-0.9432373,0.1890869,0.09411621,5.419847,3.679389,4.91603
50,-0.9470215,0.2003174,0.09411621,8.931297,-0.610687,-4.763359
50,-0.9350586,0.1987305,0.09411621,10.06107,-3.022901,-9.221375
50,-0.9268799,0.1885986,0.09411621,10.59542,-4.48855,-13.64886
50,-0.916748,0.182373,0.09411621,11.40458,-5.358778,-15.34351
50,-0.9086914,0.1671143,0.09411621,12.65649,-5.29771,-16.12214
50,-0.8901367,0.1503906,0.09411621,14.07634,-4.625954,-16.96183
50,-0.8979492,0.1425781,0.09411621,16.32061,-0.4885496,-19.93893
50,-0.907959,0.1298828,0.09411621,18.01527,2.137405,-21.31298
50,-0.9180908,0.1156006,0.09411621,24.91603,4.030534,-22.39695
50,-0.9189453,0.1140137,0.09411621,30.96183,5.51145,-24.79389
50,-0.9272461,0.1120605,0.06274414,38.44275,8,-29.25191
50,-0.9320068,0.1053467,0.06274414,42.21374,8.748092,-31.08397
50,-0.9470215,0.1043701,0.06274414,48.10687,8.244275,-31.05343
50,-0.9420166,0.1114502,0.06274414,50.53435,6.763359,-30.07634
50,-0.9448242,0.1151123,0.03137207,51.46565,7.740458,-27.84733
50,-0.9433594,0.1154785,0.03137207,51.52672,7.053435,-26.91603
50,-0.9473877,0.1147461,0.03137207,48.91603,6.671756,-25.38931
50,-0.9560547,0.1190186,0.03137207,39.08397,2.900763,-19.77099
50,-0.9595947,0.1226807,0.03137207,30.9313,1.343511,-16.36641
50,-0.9576416,0.1176758,0.03137207,25.61832,0.259542,-13.93893
50,-0.9541016,0.09802246,0.03137207,19.49618,-0.1984733,-12.53435
50,-0.958374,0.08898926,0.06274414,17.43511,-1.038168,-11.70992
50,-0.9523926,0.08483887,0.06274414,15.23664,-2.763359,-10.58015
50,-0.9504395,0.08654785,0.06274414,13.05344,-3.679389,-9.709924
50,-0.9400635,0.07995605,0.03137207,8.80916,-3.89313,-8.137404
50,-0.9442139,0.07519531,0.06274414,6.10687,-2.900763,-7.175572
50,-0.9379883,0.05786133,0.06274414,4.137404,-2.916031,-5.08397
50,-0.9356689,0.05187988,0.06274414,4.38168,-2.152672,-5.099236
50,-0.9384766,0.04821777,0.06274414,5.175572,-1.877863,-5.755725
50,-0.9383545,0.05554199,0.06274414,5.08397,-1.832061,-6.656488
50,-0.9526367,0.06359863,0.06274414,3.038168,-1.099237,-6.351145
50,-0.9434814,0.05944824,0.06274414,1.587786,-2.320611,-4.564886
50,-0.9465332,0.05603027,0.06274414,0.1526718,-2.030534,-4.10687
50,-0.9416504,0.05700684,0.06274414,-0.4580153,-2.198473,-3.114504
50,-0.9378662,0.04772949,0.06274414,-1.816794,-1.450382,-2.732824
50,-0.9304199,0.04748535,0.06274414,-2.198473,-1.083969,-3.282443
50,-0.942627,0.05090332,0.06274414,-3.267176,0.1526718,-3.633588
50,-0.940918,0.05249023,0.09411621,-4.274809,-0.03053435,-2.473282
50,-0.9440918,0.0579834,0.06274414,-5.984733,0.2137405,-1.129771
50,-0.9483643,0.06408691,0.06274414,-7.923664,0.1679389,-0.4427481
50,-0.9536133,0.07189941,0.06274414,-12.16794,-0.7328244,0.1832061
50,-0.9549561,0.06860352,0.06274414,-15.40458,-1.755725,0.4885496
50,-0.9509277,0.06604004,0.09411621,-19.12977,-3.221374,0.610687
50,-0.9465332,0.0670166,0.06274414,-21.32825,-3.618321,0.5954198
50,-0.9429932,0.0625,0.09411621,-24.48855,-3.083969,0.870229
50,-0.9384766,0.05175781,0.09411621,-25.86259,-2.610687,1.068702
50,-0.9299316,0.03259277,0.09411621,-23.19084,-0.1221374,-0.2442748
50,-0.9364014,0.03161621,0.09411621,-22.79389,0.6717557,-1.068702
50,-0.9337158,0.02307129,0.1254883,-20.99237,-1.496183,0.1679389
50,-0.9315186,0.02392578,0.1254883,-19.26718,-1.068702,-0.5954198
50,-0.9371338,0.02441406,0.09411621,-17.17557,2.274809,-0.7938932
50,-0.9385986,0.02209473,0.09411621,-16.16794,2.946565,0.09160306
50,-0.9394531,0.02783203,0.09411621,-9.389313,4.961832,-0.5343512
50,-0.9366455,0.03076172,0.09411621,-9.038168,4.992366,-1.358779
50,-0.9407959,0.03735352,0.09411621,-10.70229,4.503817,-0.610687
50,-0.9416504,0.03686523,0.09411621,-10.99237,3.221374,-1.236641
50,-0.9487305,0.04663086,0.09411621,-12.22901,-2.305344,-4.198473
50,-0.9384766,0.03918457,0.09411621,-13.70992,-3.435115,-5.648855
50,-0.935791,0.03588867,0.09411621,-14.83969,-4.442748,-6.839694
50,-0.9372559,0.03417969,0.09411621,-15.40458,-4.870229,-7.770992
50,-0.9368896,0.03662109,0.09411621,-16.44275,-5.832061,-7.984733
50,-0.9345703,0.03405762,0.09411621,-17.81679,-6.549618,-7.725191
50,-0.9334717,0.02966309,0.09411621,-20.06107,-7.29771,-6.992366
50,-0.9333496,0.02392578,0.1254883,-21.08397,-7.40458,-6.305344
50,-0.9335938,0.01843262,0.1254883,-22.22901,-7.221374,-4.900764
50,-0.9368896,0.01196289,0.1254883,-22.38168,-6.91603,-3.923664
50,-0.9414063,0.01379395,0.1254883,-21.41985,-6.21374,-2.152672
50,-0.9418945,0.01123047,0.1254883,-20.8855,-5.89313,-0.9923664
50,-0.9398193,0.006958008,0.1568604,-19.78626,-5.541985,0.778626
50,-0.9489746,-0.0009765625,0.1568604,-18.91603,-6.824428,1.603053
50,-0.9224854,0.001342773,0.1568604,-17.46565,-8.732824,1.51145
50,-0.9250488,0.01708984,0.1568604,-17.05343,-7.557252,1.038168
50,-0.9313965,0.02526855,0.1568604,-19.55725,-6.977099,3.648855
50,-0.9250488,0.01123047,0.1568604,-22.70229,-6.061069,4.748092
50,-0.9127197,-0.0004882813,0.1568604,-24.19847,-7.038168,3.435115
50,-0.9210205,-0.002197266,0.1568604,-26.19847,-6.80916,0.4274809
50,-0.9222412,0.001953125,0.1568604,-26.62595,-8.38168,-2.70229
50,-0.9378662,-0.02978516,0.1882324,-37.66412,-8.564885,-9.78626
50,-0.927124,-0.03979492,0.1882324,-37.84733,-9.526717,-7.175572
50,-0.9029541,-0.05834961,0.1882324,-38.22901,-8.931297,-5.206107
50,-0.8929443,-0.0760498,0.1882324,-38.9771,-8.229008,-6.122138
50,-0.8970947,-0.07897949,0.1882324,-40.73283,-6.854962,-8.335877
50,-0.9066162,-0.07019043,0.1882324,-42,-6.091603,-8.900764
50,-0.9168701,-0.07287598,0.1568604,-43.64885,-5.221374,-7.541985
50,-0.9074707,-0.08044434,0.1568604,-45.05344,-4.610687,-6.48855
50,-0.9055176,-0.09301758,0.1568604,-44.9771,-2.824427,-7.358778
50,-0.907959,-0.1065674,0.1882324,-45.03817,-1.480916,-8.030535
50,-0.9151611,-0.1035156,0.1882324,-44.58015,-0.4732825,-8.564885
50,-0.9191895,-0.1027832,0.1882324,-44.90076,-1.053435,-7.114504
50,-0.9133301,-0.1171875,0.1568604,-44.73283,-1.007634,-5.160306
50,-0.9052734,-0.1174316,0.1568604,-43.08397,-0.6564885,-3.78626
50,-0.9125977,-0.114624,0.1568604,-43.49618,0.9465649,-0.259542
50,-0.9145508,-0.1114502,0.1568604,-43.98473,2.48855,3.633588
50,-0.9069824,-0.1202393,0.1568604,-44.44275,4.030534,7.068702
50,-0.9002686,-0.1318359,0.1568604,-44.25954,7.526718,9.587787
50,-0.8945313,-0.1434326,0.1568604,-43.63359,9.908397,9.725191
50,-0.9123535,-0.1524658,0.1568604,-41.48092,13.1145,8.992367
50,-0.9075928,-0.1802979,0.1568604,-37.00763,11.14504,6.503817
50,-0.9134521,-0.1734619,0.1568604,-35.12977,8.519084,4.748092
50,-0.9282227,-0.1586914,0.1254883,-33.92366,5.877862,2.183206
50,-0.9337158,-0.1412354,0.09411621,-34.22901,4.778626,1.78626
50,-0.9327393,-0.1306152,0.09411621,-37.41985,4.167939,3.053435
50,-0.9334717,-0.1289063,0.06274414,-40.30534,4.366412,4.015267
50,-0.9460449,-0.1356201,0.06274414,-44.06107,3.938931,5.374046
50,-0.9383545,-0.1455078,0.06274414,-44.45802,3.236641,6.259542
50,-0.9383545,-0.1551514,0.06274414,-43.9084,4.152672,6.427481
50,-0.9324951,-0.1551514,0.06274414,-42.87023,5.343512,7.099236
50,-0.9354248,-0.1634521,0.06274414,-42.56488,6.442748,8.259542
50,-0.9301758,-0.1893311,0.06274414,-40.99237,6.977099,9.267176
50,-0.9234619,-0.2016602,0.06274414,-38.62595,6.48855,7.938931
50,-0.9425049,-0.1904297,0.06274414,-35.9542,7.419847,4.10687
50,-0.9595947,-0.1801758,0.06274414,-35.63359,7.206107,4.244275
50,-0.9827881,-0.1712646,0.06274414,-35.98473,5.007634,8.061069
50,-0.9718018,-0.1682129,0.03137207,-35.45038,2.015267,11.12977
50,-0.9569092,-0.1694336,0.03137207,-33.28244,0.778626,11.74046
50,-0.9649658,-0.1660156,0.06274414,-32.10687,0.8091603,11.25191
50,-0.9550781,-0.1643066,0.06274414,-30.41221,-1.694656,12.82443
50,-0.9306641,-0.1523438,0.06274414,-28.68702,-2.045802,12.42748
50,-0.9487305,-0.1494141,0.06274414,-27.28244,-0.5954198,11.96947
50,-0.9265137,-0.1466064,0.06274414,-25.64886,-1.664122,12.19847
50,-0.9130859,-0.1470947,0.06274414,-22.51908,-1.40458,8.351145
50,-0.9003906,-0.1409912,0.06274414,-19.83206,-0.9007633,5.465649
50,-0.8911133,-0.1339111,0.03137207,-16.71756,1.053435,0.9312977
50,-0.8897705,-0.1274414,0.03137207,-15.20611,3.603053,-0.9160305
50,-0.9005127,-0.1427002,0.03137207,-14.38168,7.389313,-2.717557
50,-0.8967285,-0.175415,0.06274414,-12.91603,8.320611,-4.931298
50,-0.8874512,-0.2529297,0.06274414,-4.641222,9.969465,-13.00763
50,-0.8909912,-0.2810059,0.06274414,6.992366,13.89313,-20.80916
50,-0.9073486,-0.2878418,0.06274414,27.46565,22.94657,-31.40458
50,-0.9312744,-0.270752,0.03137207,40.58015,28.50382,-40.58015
50,-0.9437256,-0.258667,0,56.30534,35.38931,-43.92366
50,-0.9525146,-0.2452393,0,67.37405,34.74809,-46.82443
50,-0.9637451,-0.2280273,0,73.34351,32.65649,-46.35115
50,-0.9710693,-0.1942139,0,78.09161,26.99237,-41.86259
50,-0.9833984,-0.1706543,-0.0001220703,76.77863,24.15267,-36.94656
50,-0.9729004,-0.1557617,-0.0001220703,69.40458,18.30534,-26.9313
50,-0.9715576,-0.1550293,-0.0001220703,62.35115,16.10687,-22.15267
50,-0.9586182,-0.166748,-0.0001220703,51.52672,11.0687,-15.77099
50,-0.9630127,-0.1656494,0,44.24427,8.229008,-13.14504
50,-0.9464111,-0.1646729,0,33.40458,1.862595,-8.366412
50,-0.9504395,-0.161377,0.03137207,25.0229,0.09160306,-6
50,-0.9454346,-0.1604004,0.03137207,13.20611,-4.763359,0.2900763
50,-0.9366455,-0.1611328,0.03137207,4.900764,-7.099236,3.618321
50,-0.9295654,-0.1563721,0.06274414,-7.480916,-10.1374,7.374046
50,-0.9263916,-0.1563721,0.06274414,-15.89313,-11.46565,9.374045
50,-0.9221191,-0.1522217,0.06274414,-24.96183,-13.0229,12.1374
50,-0.9134521,-0.1496582,0.06274414,-39.1145,-13.9084,12.94656
50,-0.90979,-0.1505127,0.06274414,-49.75573,-14.54962,13.08397
50,-0.9091797,-0.1516113,0.06274414,-63.32824,-14.77863,14.91603
50,-0.9035645,-0.1617432,0.03137207,-76.71756,-15.19084,21.05343
50,-0.8903809,-0.1774902,0.03137207,-84.85497,-14.58015,25.54198
50,-0.8843994,-0.2141113,0.06274414,-93.66412,-11.48092,30.33588
50,-0.894043,-0.2318115,0.06274414,-95.0687,-8.519084,33.64885
50,-0.907959,-0.2331543,0.06274414,-93.60305,-6.061069,35.70992
50,-0.9171143,-0.2357178,0.09411621,-91.60305,-4.21374,39.61832
50,-0.907959,-0.2385254,0.09411621,-87.16031,-3.099237,41.46565
50,-0.9012451,-0.230835,0.09411621,-82.85497,-0.9923664,40.94656
50,-0.8997803,-0.2156982,0.09411621,-75.35878,2.870229,39.43512
50,-0.9052734,-0.1864014,0.06274414,-71.34351,7.603054,36.53435
50,-0.9141846,-0.1774902,0.06274414,-68.70229,10.35114,35.03817
50,-0.9326172,-0.1789551,0.06274414,-68.19847,12.1374,32.80916
50,-0.9377441,-0.1776123,0.06274414,-66.54962,12.27481,31.0687
50,-0.9416504,-0.1732178,0.06274414,-64.10687,11.32824,27.9542
50,-0.9425049,-0.1645508,0.06274414,-62.25954,10.30534,25.09924
50,-0.9482422,-0.1536865,0.06274414,-59.08397,8.80916,22.76336
50,-0.9694824,-0.1429443,0.03137207,-57.17557,8.442748,20.22901
50,-0.9714355,-0.1385498,0.03137207,-54.0916,6.625954,20.03053
50,-0.9637451,-0.131958,0.03137207,-51.80153,5.389313,18.91603
50,-0.9631348,-0.1219482,0.03137207,-47.43512,4.503817,17.52672
50,-0.9628906,-0.1079102,0.03137207,-44.79389,3.328244,14.71756
50,-0.9603271,-0.102417,0.03137207,-41.93893,2.076336,12.44275
50,-0.9484863,-0.09851074,0.03137207,-40.56488,0.7328244,8.38168
50,-0.934082,-0.09655762,0.03137207,-38.68702,-1.236641,5.801527
50,-0.9140625,-0.09790039,0.03137207,-38.33588,-2.183206,2.854962
50,-0.8922119,-0.09851074,0.03137207,-38.77863,-2.137405,-2.839695
50,-0.8868408,-0.09899902,0.03137207,-40,-1.038168,-7.236641
50,-0.8947754,-0.1025391,0.03137207,-42.59542,0.3969466,-13.17557
50,-0.8955078,-0.107666,0,-44.07634,-0.03053435,-16.18321
50,-0.8879395,-0.1147461,0,-46.03053,-1.114504,-19.48092
50,-0.8948975,-0.1365967,0,-47.20611,-0.8854962,-21.35878
50,-0.9289551,-0.1661377,0.03137207,-45.87786,-0.4427481,-21.78626
50,-0.9547119,-0.1715088,0.03137207,-42.62595,-0.07633588,-19.58779
50,-0.9815674,-0.1804199,0.03137207,-36.76336,1.221374,-13.28244
50,-0.9946289,-0.1860352,0.03137207,-32.07634,2.916031,-8.274809
50,-0.9934082,-0.189209,0.03137207,-25.03817,4.946565,-2.137405
50,-0.9714355,-0.1988525,0.06274414,-21.16031,5.282443,0.778626
50,-0.9547119,-0.2006836,0.06274414,-15.46565,3.816794,0.5648855
50,-0.9074707,-0.1959229,0.06274414,-12.16794,0.259542,-2.381679
50,-0.8865967,-0.197998,0.06274414,-9.755725,-1.160305,-5.358778
50,-0.8533936,-0.2052002,0.06274414,-8.946565,-3.40458,-10.74809
50,-0.8382568,-0.2142334,0.06274414,-8.229008,-4.198473,-15.28244
50,-0.8310547,-0.2283936,0.09411621,-5.832061,-3.740458,-21.61832
50,-0.8342285,-0.2364502,0.09411621,-3.51145,-3.160305,-24.87023
50,-0.8563232,-0.2490234,0.1254883,-0.1679389,-1.572519,-27.92366
50,-0.8623047,-0.2514648,0.1254883,1.587786,-1.969466,-28.61069
50,-0.8604736,-0.2491455,0.1254883,2.458015,-2.564885,-30.71756
50,-0.8580322,-0.2513428,0.1254883,2.396947,-2.854962,-32.47328
50,-0.8841553,-0.279541,0.1254883,1.709924,-1.709924,-37.08397
50,-0.9223633,-0.3112793,0.1254883,2.610687,-1.099237,-39.9542
50,-0.9559326,-0.3354492,0.1568604,6.946565,-2.656489,-42.0916
50,-0.9674072,-0.3427734,0.1254883,10.01527,-2.381679,-43.22137
50,-1.015625,-0.3614502,0.1254883,14.91603,0,-44.19847
50,-1.096558,-0.4147949,0.1568604,16.94657,4.137404,-45.41985
50,-1.223877,-0.4597168,0.1568604,25.96947,1.725191,-41.31298
50,-1.185791,-0.4243164,0.09411621,31.12977,-5.633588,-37.75573
50,-1.126709,-0.3862305,-0.0001220703,29.16031,-8.519084,-36.33588
50,-1.105835,-0.380249,-0.06286621,24.41221,-8.351145,-37.12977
50,-1.097412,-0.3757324,-0.06286621,21.46565,-10.35114,-34.01527
50,-1.047974,-0.3701172,-0.06286621,22.15267,-14.50382,-29.32825
50,-1.005493,-0.3798828,-0.06286621,24.16794,-17.55725,-21.57252
50,-0.9599609,-0.3848877,-0.09423828,23.92366,-19.75573,-17.05343
50,-0.9066162,-0.3886719,-0.09423828,21.37405,-17.61832,-12.42748
50,-0.8726807,-0.3846436,-0.06286621,20.64122,-12.8855,-8.091603
50,-0.8640137,-0.3920898,-0.03149414,21.28244,-10.24428,-5.603054
50,-0.8282471,-0.3796387,-0.03149414,25.34351,-11.1145,-2.564885
50,-0.7979736,-0.3657227,-0.03149414,28.13741,-12.07634,-2.10687
50,-0.7507324,-0.3477783,-0.0001220703,31.63359,-14.27481,-3.114504
